Car ID,Car Name,Model Year,engine_capacity,transmission_type,Kms_driven,owner_type,fuel_type,body_type,resale_price
1,5,2017,1197,1,40000,0,2,0,545000
2,7,2018,2179,0,70000,0,1,1,1000000
3,5,2015,1197,1,70000,1,2,4,450000
4,5,2015,1197,1,70000,1,2,4,450000
5,2,2009,1086,1,80000,0,2,0,160000
6,2,2015,1197,1,70000,0,2,0,470000
7,7,2017,1047,1,120000,0,1,0,360000
8,2,2010,1086,1,60000,1,2,0,200000
9,5,2016,1196,1,20000,0,2,2,370000
10,2,2009,1086,1,30000,0,2,0,120000
11,1,2014,1198,1,70000,0,2,4,330000
12,2,2018,1197,1,60000,1,2,4,475000
13,5,2020,1462,1,50000,2,2,4,686000
14,2,2021,1493,1,60000,0,1,3,1250000
15,2,2021,1396,1,60000,0,1,3,1100000
16,5,2019,998,0,20000,0,2,0,395000
17,5,2016,998,1,40000,0,0,0,350000
18,8,2011,1496,1,50000,1,2,4,289000
19,8,2011,1364,1,150000,0,1,4,282000
20,3,2021,998,1,10000,0,2,3,1000000
21,5,2020,1462,1,30000,1,2,4,785000
22,0,2014,1498,1,150000,2,1,3,300000
23,6,2011,2360,0,80000,1,2,3,397000
24,5,2015,1248,1,20000,0,1,4,375000
25,5,2011,998,1,120000,2,2,0,100000
26,6,2011,2360,0,80000,1,2,3,397000
27,5,2021,1197,1,40000,0,2,0,675000
28,2,2018,1197,1,60000,1,2,4,465000
29,5,2015,1197,1,80000,1,2,4,480000
30,5,2014,796,1,100000,0,2,0,225000
31,5,2016,998,1,70000,1,2,0,320000
32,2,2015,1197,1,30000,0,2,0,415000
33,5,2012,1248,1,120000,2,1,0,240000
34,4,2013,2179,1,100000,2,1,3,350000
35,4,2013,2179,1,100000,2,1,3,350000
36,7,2013,2179,1,90000,1,1,3,296000
37,7,2013,2179,1,90000,1,1,3,296000
38,7,2018,1199,1,100000,0,2,0,316000
39,5,2017,1248,1,100000,1,1,3,750000
40,5,2019,1248,1,120000,0,1,1,900000
41,5,2022,998,1,10000,0,2,0,560000
42,5,2017,1248,1,150000,0,1,3,800000
43,2,2017,1396,1,120000,1,1,3,900000
44,5,2019,796,1,80000,0,2,0,280000
45,8,2013,2494,1,90000,1,1,5,550000
46,8,2009,2494,1,150000,0,1,1,250000
47,7,2011,1248,1,150000,0,1,4,150000
48,7,2011,1248,1,150000,0,1,4,150000
49,2,2017,1186,1,20000,0,1,0,480000
50,5,2017,1196,1,150000,0,0,2,300000
